iter	Logloss
0	0.4050428237
1	0.2646598929
2	0.1872612113
3	0.1444728163
4	0.1215574019
5	0.1055208777
6	0.09555997757
7	0.08874057413
8	0.07905378343
9	0.07419283301
10	0.07096699671
11	0.06820629743
12	0.06602646115
13	0.06445040142
14	0.06279508348
15	0.06029743302
16	0.05930699631
17	0.05842924336
18	0.05757963502
19	0.05561386185
20	0.05459770765
21	0.05334731975
22	0.05215917252
23	0.05138999162
24	0.05033940889
25	0.04962063783
26	0.04885530265
27	0.04806622823
28	0.04760195012
29	0.04694462731
30	0.04646256971
31	0.04599232077
32	0.04561331325
33	0.04532304246
34	0.04474271698
35	0.04424470023
36	0.04391423234
37	0.04355013665
38	0.04306737253
39	0.04272045508
40	0.04247504444
41	0.04222636994
42	0.04191284755
43	0.04142627374
44	0.04121495084
45	0.04080488394
46	0.04033754145
47	0.0399542837
48	0.03969405544
49	0.03935603743
50	0.03915712443
51	0.03894895734
52	0.03871541354
53	0.03840939694
54	0.0381328161
55	0.03781470547
56	0.03763328379
57	0.03745842587
58	0.03718750831
59	0.03687207139
60	0.03670491043
61	0.03647901095
62	0.03632850458
63	0.03617286968
64	0.03602423352
65	0.03583814047
66	0.03569547237
67	0.03548630229
68	0.03537296465
69	0.03522503502
70	0.03501745809
71	0.0348733326
72	0.03457885037
73	0.0343401531
74	0.03424506874
75	0.03410105962
76	0.03392083211
77	0.03380658293
78	0.03368046966
79	0.0335179496
80	0.03333567733
81	0.03307720569
82	0.03294129805
83	0.03275358693
84	0.03261908126
85	0.03249254963
86	0.03239058011
87	0.03219839433
88	0.03213579348
89	0.03201531025
90	0.03192234823
91	0.03174514354
92	0.0316124693
93	0.03145692583
94	0.03131148704
95	0.03112736395
96	0.03101141079
97	0.03091410711
98	0.03077350871
99	0.03070667148
100	0.03055618173
101	0.03050222818
102	0.03033705104
103	0.03027412879
104	0.03021060529
105	0.03015490345
106	0.03004273504
107	0.02995006118
108	0.02987487033
109	0.02981070404
110	0.02972520625
111	0.029660242
112	0.02960825841
113	0.02955311624
114	0.02949971129
115	0.02939804102
116	0.02928997045
117	0.02922543566
118	0.02912239944
119	0.02905855732
120	0.02899433838
121	0.02887897815
122	0.02875445803
123	0.02868355621
124	0.02862532749
125	0.02852885779
126	0.02849306331
127	0.02837209798
128	0.02830216036
129	0.02823674726
130	0.02813940756
131	0.02805121389
132	0.02798311877
133	0.02794307129
134	0.02785830219
135	0.02776462534
136	0.02770061421
137	0.02759424761
138	0.02753192937
139	0.02746050112
140	0.02739037785
141	0.02731688267
142	0.02728318006
143	0.02721481618
144	0.02715182743
145	0.02709646361
146	0.02702611592
147	0.02696736632
148	0.02691621394
149	0.0268495762
150	0.02679203738
151	0.02672350727
152	0.02663923135
153	0.02660187974
154	0.02652947621
155	0.02646641265
156	0.0264297648
157	0.02638664463
158	0.02635563513
159	0.02629876405
160	0.02623985375
161	0.02619509611
162	0.02615753948
163	0.02612449075
164	0.02606502908
165	0.02599318522
166	0.02592326422
167	0.0258705935
168	0.02582347524
169	0.02576810033
170	0.02573113939
171	0.02569541695
172	0.02563543717
173	0.02557808954
174	0.02553671213
175	0.02549353378
176	0.0254586564
177	0.02542294781
178	0.02537164581
179	0.0253322439
180	0.02530540151
181	0.02524342406
182	0.02520398336
183	0.02515472889
184	0.02512957108
185	0.02510801515
186	0.02506614456
187	0.02502177481
188	0.0249825059
189	0.02492282812
190	0.02488833586
191	0.02485497127
192	0.02482132962
193	0.0247989037
194	0.02473029046
195	0.02470409917
196	0.02462927683
197	0.02457870352
198	0.02454166223
199	0.02450976057
200	0.02447809718
201	0.02444641163
202	0.02441456261
203	0.02436961379
204	0.02434748987
205	0.02430863379
206	0.02427774065
207	0.02423902864
208	0.02420661994
209	0.02416212274
210	0.02412150727
211	0.02408027117
212	0.02402525645
213	0.02396268608
214	0.02393811288
215	0.02390858846
216	0.02386929738
217	0.02383191807
218	0.02379801043
219	0.02377589482
220	0.0237567577
221	0.02372934454
222	0.02367713099
223	0.02364811915
224	0.02359238959
225	0.02356915463
226	0.02354245077
227	0.023520615
228	0.02348387018
229	0.0234654008
230	0.0234509489
231	0.02341928829
232	0.02340248686
233	0.0233542049
234	0.02332727662
235	0.02329341885
236	0.02327682245
237	0.02322861114
238	0.02320820228
239	0.02314089957
240	0.02310268213
241	0.02307109771
242	0.02304035973
243	0.0230148251
244	0.02299084067
245	0.02295511962
246	0.02291985018
247	0.02288644681
248	0.02286137765
249	0.02281764932
